Date,Open,High,Low,Close,Adj Close,Volume
2023-12-01,325.4800109863281,326.8599853515625,320.760009765625,324.82000732421875,324.1539001464844,15264700
2023-12-04,317.2900085449219,320.8599853515625,313.6600036621094,320.0199890136719,319.3637390136719,19037100
2023-12-05,318.9800109863281,321.8800048828125,315.3900146484375,318.2900085449219,317.6372985839844,16952100
2023-12-06,321.92999267578125,322.25,317.0400085449219,317.45001220703125,316.79901123046875,11294300
2023-12-07,317.7699890136719,328.239990234375,317.7699890136719,326.5899963378906,325.92022705078125,15905100
2023-12-08,323.0899963378906,333.1700134277344,323.0,332.75,332.0675964355469,14077500
2023-12-11,329.3999938964844,329.8900146484375,320.0,325.2799987792969,324.6129455566406,25802500
2023-12-12,324.6000061035156,334.4700012207031,324.55999755859375,334.2200012207031,333.53460693359375,18485500
2023-12-13,333.92999267578125,338.3699951171875,332.6400146484375,334.739990234375,334.05352783203125,16353300
2023-12-14,333.8500061035156,334.70001220703125,328.6400146484375,333.1700134277344,332.4867858886719,19607300
2023-12-15,331.989990234375,338.6600036621094,331.2200012207031,334.9200134277344,334.2331848144531,30001600
2023-12-18,337.4800109863281,347.55999755859375,337.0199890136719,344.6199951171875,343.91326904296875,18993900
2023-12-19,345.5799865722656,353.6000061035156,345.1199951171875,350.3599853515625,349.6415100097656,17729400
2023-12-20,348.6499938964844,354.9599914550781,347.7900085449219,349.2799987792969,348.563720703125,16369900
2023-12-21,352.9800109863281,356.4100036621094,349.2099914550781,354.0899963378906,353.3638610839844,15289600
2023-12-22,355.5799865722656,357.20001220703125,351.2200012207031,353.3900146484375,352.6653137207031,11764200
2023-12-26,354.989990234375,356.9800109863281,353.45001220703125,354.8299865722656,354.10235595703125,9898600
2023-12-27,356.07000732421875,359.0,355.30999755859375,357.8299865722656,357.0961608886719,13207900
2023-12-28,359.70001220703125,361.8999938964844,357.80999755859375,358.32000732421875,357.5851745605469,11798800
2023-12-29,358.989990234375,360.0,351.82000732421875,353.9599914550781,353.234130859375,14980500
2024-01-02,351.32000732421875,353.1600036621094,340.010009765625,346.2900085449219,345.5798645019531,19042200
2024-01-03,344.9800109863281,347.95001220703125,343.17999267578125,344.4700012207031,343.7635803222656,15451100
